City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Kapaa,22.08,-159.32,78.8,78,20,16.11,US,few clouds
1,Albany,42.6,-73.97,73.0,38,0,1.83,US,clear sky
2,Ushuaia,-54.8,-68.3,53.6,48,40,25.28,AR,scattered clouds
3,Vila Franca Do Campo,37.72,-25.43,59.0,87,40,13.87,PT,shower rain
4,Duluth,46.78,-92.11,71.6,43,1,17.22,US,clear sky
5,Cape Town,-33.93,18.42,60.01,62,75,8.05,ZA,light rain
6,Busselton,-33.65,115.33,57.99,78,87,12.55,AU,overcast clouds
7,Dolinsk,47.35,142.8,26.6,92,39,6.71,RU,scattered clouds
8,Samarai,-10.62,150.67,79.86,84,92,17.11,PG,moderate rain
9,Porto Belo,-27.16,-48.55,78.01,69,20,14.99,BR,few clouds
10,Bluff,-46.6,168.33,50.0,92,89,3.33,NZ,overcast clouds
11,Gallup,35.53,-108.74,46.0,52,20,13.87,US,few clouds
12,Avarua,-21.21,-159.78,77.0,73,85,8.59,CK,overcast clouds
13,Vila Velha,-20.33,-40.29,84.2,74,20,17.22,BR,few clouds
14,Carnarvon,-24.87,113.63,68.0,77,90,11.41,AU,overcast clouds
15,Bairiki,1.33,172.98,80.6,74,40,5.82,KI,scattered clouds
16,Vaini,-21.2,-175.2,73.4,88,20,4.7,TO,few clouds
17,Chichihualco,17.68,-99.65,79.5,54,90,2.95,MX,overcast clouds
18,Port Alfred,-33.59,26.89,67.19,69,75,9.55,ZA,broken clouds
19,Fairlie,55.76,-4.86,48.99,92,100,7.56,GB,overcast clouds
20,Salalah,17.02,54.09,80.6,74,0,4.7,OM,clear sky
21,Qaanaaq,77.48,-69.36,-6.27,72,78,11.41,GL,broken clouds
22,Dauphin,51.15,-100.05,28.4,97,90,12.55,CA,overcast clouds
23,Dikson,73.51,80.55,2.77,94,96,11.61,RU,overcast clouds
24,Boyuibe,-20.42,-63.28,100.2,16,0,16.78,BO,clear sky
25,Sabang,5.89,95.32,81.18,75,99,2.93,ID,overcast clouds
26,Tamiahua,21.27,-97.45,80.11,67,87,5.77,MX,overcast clouds
27,Thompson,55.74,-97.86,12.2,85,90,10.29,CA,light snow
28,Bambous Virieux,-20.34,57.76,73.99,88,75,8.05,MU,broken clouds
29,Touros,-5.2,-35.46,80.6,78,75,19.46,BR,broken clouds
30,Marsh Harbour,26.54,-77.06,75.96,91,100,34.07,BS,moderate rain
31,Atuona,-9.8,-139.03,77.07,73,63,11.79,PF,broken clouds
32,Petropavlovsk-Kamchatskiy,53.05,158.65,14.0,85,25,6.71,RU,scattered clouds
33,Barrow,71.29,-156.79,17.6,78,90,18.34,US,light snow
34,Hradek,49.71,13.65,35.01,74,47,3.36,CZ,fog
35,Bethel,41.37,-73.41,75.0,35,1,3.36,US,clear sky
36,Hofn,64.25,-15.21,40.62,70,100,10.36,IS,overcast clouds
37,Mataura,-46.19,168.86,50.0,92,100,2.04,NZ,overcast clouds
38,Yatou,37.15,122.38,40.95,64,0,5.5,CN,clear sky
39,Norman Wells,65.28,-126.83,17.6,85,75,5.82,CA,broken clouds
40,Lebu,-37.62,-73.65,57.43,68,0,17.92,CL,clear sky
41,Half Moon Bay,37.46,-122.43,55.99,54,1,18.34,US,clear sky
42,Grand Gaube,-20.01,57.66,73.99,79,0,4.0,MU,clear sky
43,Chahal,15.75,-89.57,84.18,61,8,4.79,GT,clear sky
44,Carutapera,-1.2,-46.02,86.25,59,31,11.34,BR,scattered clouds
45,Lagoa,39.05,-27.98,59.83,62,100,11.16,PT,overcast clouds
46,Aklavik,68.22,-135.01,8.6,92,75,3.36,CA,broken clouds
47,Punta Arenas,-53.15,-70.92,55.4,54,0,32.21,CL,clear sky
48,Hambantota,6.12,81.12,75.2,100,75,2.24,LK,broken clouds
49,Luderitz,-26.65,15.16,62.2,77,0,22.7,NA,clear sky
50,Nikolskoye,59.7,30.79,37.99,74,0,15.66,RU,clear sky
51,Port Elizabeth,-33.92,25.57,64.4,72,40,10.29,ZA,scattered clouds
52,Broome,42.25,-75.83,71.01,39,1,1.41,US,clear sky
53,Silves,37.19,-8.44,64.4,88,40,12.75,PT,light rain
54,Teknaf,20.86,92.31,75.74,85,0,4.52,BD,clear sky
55,Kutum,14.2,24.67,70.77,26,0,10.76,SD,clear sky
56,Yellowknife,62.46,-114.35,23.0,92,75,4.7,CA,broken clouds
57,Campbellton,48.01,-66.67,37.4,74,100,9.17,CA,overcast clouds
58,Mozarlandia,-14.74,-50.57,91.89,45,86,7.09,BR,overcast clouds
59,Sao Felix Do Xingu,-6.64,-51.99,90.57,53,90,3.89,BR,overcast clouds
60,Hithadhoo,-0.6,73.08,84.22,72,100,8.01,MV,overcast clouds
61,Luan,46.36,6.98,51.01,94,56,3.0,CH,broken clouds
62,Butaritari,3.07,172.79,81.27,66,100,7.78,KI,overcast clouds
63,Grindavik,63.84,-22.43,41.0,86,75,23.04,IS,broken clouds
64,Hermanus,-34.42,19.23,55.0,88,24,1.99,ZA,light rain
65,Belyy Yar,53.6,91.39,24.8,100,5,2.24,RU,mist
66,Port Hedland,-20.32,118.57,71.6,78,0,5.82,AU,clear sky
67,Mikhaylovka,50.06,43.24,46.0,90,93,14.0,RU,overcast clouds
68,Creel,27.75,-107.63,60.64,43,0,22.7,MX,clear sky
69,Avera,33.19,-82.53,75.2,100,90,5.82,US,moderate rain
70,Mogadishu,2.04,45.34,79.7,84,1,11.12,SO,light rain
71,Ribeira Grande,38.52,-28.7,60.8,55,75,2.24,PT,broken clouds
72,Mar Del Plata,-38.0,-57.56,66.2,82,40,9.17,AR,light rain
73,Suez,29.97,32.53,71.15,51,1,5.55,EG,clear sky
74,Bredasdorp,-34.53,20.04,55.4,87,3,10.29,ZA,clear sky
75,Chokurdakh,70.63,147.92,-10.3,92,100,2.15,RU,overcast clouds
76,Tuktoyaktuk,69.45,-133.04,12.2,92,20,6.93,CA,few clouds
77,Ginda,30.69,78.49,48.99,47,0,4.65,IN,clear sky
78,Kharp,66.8,65.81,23.67,97,100,2.68,RU,light snow
